Boletos,Ingresos,% Δ,Cantidad,% Δ
NEUQUEN → Mar del Plata,2492699.996,0.12%,23,0.08%
Mendoza → General Roca,2299030.001,0.11%,23,0.08%
CATAMARCA → Mendoza,2138509.993,0.10%,23,0.08%
CATAMARCA → Salta,1905563.997,0.09%,23,0.08%
Villa Regina → PUERTO MADRYN,1218070.005,0.06%,23,0.08%
Plottier → Bariloche,774199.9965,0.04%,23,0.08%
Mendoza → San Juan,640169.9972,0.03%,23,0.08%
Cinco Saltos → Catriel,220184.9998,0.01%,23,0.08%
RESISTENCIA → Mendoza,3416180,0.16%,22,0.07%
LA PLATA → PUERTO MADRYN,2855869.998,0.13%,22,0.07%
San Pedro De Atacama → San Salvador de Jujuy,2078999.998,0.10%,22,0.07%
General Roca → PUERTO MADRYN,1266079.999,0.06%,22,0.07%
Bariloche → Temuco,1236900.001,0.06%,22,0.07%
BAHIA BLANCA → NEUQUEN,1009050.001,0.05%,22,0.07%
General Pico - LPM → SAN LUIS,866630.0015,0.04%,22,0.07%
VIEDMA → PUERTO MADRYN,769418.7015,0.04%,22,0.07%
SIERRA GRANDE - RNG → TRELEW,447093.5695,0.02%,22,0.07%
Caleta Olivia → COMODORO RIVADAVIA,440609.996,0.02%,22,0.07%
Catriel → Cinco Saltos,212099.9998,0.01%,22,0.07%
CORDOBA → RIO GALLEGOS,6495983,0.30%,21,0.07%
TRELEW → Mendoza,4550260.001,0.21%,21,0.07%
COMODORO RIVADAVIA → Retiro Buenos Aires,3620720.002,0.17%,21,0.07%
Caleta Olivia → Retiro Buenos Aires,3583259.998,0.17%,21,0.07%
COMODORO RIVADAVIA → BAHIA BLANCA,2169277.996,0.10%,21,0.07%
Santa Rosa - LPA → Monte Hermoso,1127599.998,0.05%,21,0.07%
Mendoza → Mina Clavero,1063750,0.05%,21,0.07%
SANTA ROSA - LPM → BAHIA BLANCA,628380.0014,0.03%,21,0.07%
BAHIA BLANCA → Santa Rosa - LPA,618580.0037,0.03%,21,0.07%
San Francisco - CBA → SANTA FE,315850,0.01%,21,0.07%
Salta → RIO CUARTO,2356785.996,0.11%,20,0.07%
BAHIA BLANCA → RIO CUARTO,1564170.003,0.07%,20,0.07%
SANTIAGO DEL ESTERO → Salta,979717.9999,0.05%,20,0.07%
SAN LUIS → San Martin (MZA),432810.0006,0.02%,20,0.07%
RESISTENCIA → Goya Terminal,399261.9981,0.02%,20,0.07%
Mendoza → Punta de Vacas,315889.9978,0.01%,20,0.07%
Puente de Inca → Mendoza,285599.9996,0.01%,20,0.07%
TRELEW → TUCUMAN,4135316.999,0.19%,19,0.06%
LAS GRUTAS → Mendoza,2818243.001,0.13%,19,0.06%
Cipolletti - RNG → Caleta Olivia,2452019.998,0.11%,19,0.06%
Mendoza → San Francisco - CBA,1786249.998,0.08%,19,0.06%
Retiro Buenos Aires → VIEDMA,1507379.998,0.07%,19,0.06%
