Boletos,Ingresos,% Δ,Cantidad,% Δ
Caleta Olivia → Cipolletti - RNG,1746379.998651,,13,
LA PLATA → TRELEW,1665740.00326,,13,
Buenos Aires → San Juan,1455269.9986079999,,13,
General Roca → COMODORO RIVADAVIA,1382925.0016609998,,13,
PUERTO MADRYN → LA PLATA,1323810.0007340002,,13,
LA RIOJA → San Salvador de Jujuy,1133240.000862,,13,
RIO GALLEGOS → CDRO RIVADAVIA,1009395.000001,6.150715539813052,13,5.5
Mendoza → Plottier,904930.003114,13.731076164743536,13,12
SAN LUIS → SANTA FE,857790.0005810001,10.577675735506702,13,12
Pto San Julian → COMODORO RIVADAVIA,768755.9973880001,,13,
BAHIA BLANCA → SIERRA GRANDE - RNG,752610.001384,,13,
SANTA ROSA - LPM → CORDOBA,726350.002415,,13,
Santiago → Osorno,659400.001078,10.629629528038407,13,12
SAN LUIS → SANTA ROSA - LPM,656440.001904,,13,
SANTA FE → RIO CUARTO,602020.000876,,13,
Cipolletti - RNG → BAHIA BLANCA,551249.999526,,13,
Caleta Olivia → RAWSON,479390.00217200007,,13,
Villa Mercedes - SLU → Mendoza,396279.999688,,13,
TUCUMAN → Perico,390409.996938,,13,
BAHIA BLANCA → Padre Buodo Acc,309515.000065,,13,
RIO CUARTO → Realico - LPM,297779.99983899994,,13,
San Martin (MZA) → SAN LUIS,283710.000671,13.221052941080073,13,12
RESISTENCIA → Esquina Acc,281542.001302,,13,
TRELEW → SIERRA GRANDE - RNG,268859.99851,,13,
BAHIA BLANCA → Jacinto Arauz Acc,139550.001663,,13,
TUCUMAN → BAHIA BLANCA,2072099.9991650002,,12,
ROSARIO - SFE → TRELEW,2015440.0040819999,,12,
LINIERS → LAS GRUTAS,1599190.0026729996,,12,
LAS GRUTAS → LINIERS,1585060.001886,,12,
PUERTO MADRYN → Buenos Aires,1435310.000713,17.226158669548273,12,11
TRELEW → Retiro Buenos Aires,1403970.002449,5.307142866926294,12,5
Retiro Buenos Aires → RAWSON,1359019.9953800002,,12,
TUCUMAN → San Juan,1276669.9974530002,,12,
Mendoza → Villa Regina,1193241.996115,,12,
Villa Regina → Mendoza,1145008.000149,,12,
Retiro Buenos Aires → San Martin (MZA),985579.99881,,12,
CORRIENTES → ROSARIO - SFE,891929.9997879999,,12,
SANTA FE → SAN LUIS,840479.299214,10.344031502016486,12,11
SAN LUIS → Buenos Aires,784140.001638,4.748826979721974,12,5
BAHIA BLANCA → LINIERS,708809.999085,,12,
Pto Santa Cruz → COMODORO RIVADAVIA,590320.0013310001,,12,
Mar del Plata → LINIERS,524590.002623,,12,
SANTA FE → CORRIENTES,462666.001786,,12,
LA RIOJA → CATAMARCA,239080.00117300003,,12,
SANTIAGO DEL ESTERO → TUCUMAN,235039.999767,,12,
Mendoza → Polvaredas,174930.000863,,12,
Mendoza → La Paz (MZA),171399.995478,,12,
